êºóÔ,îNóÓ,èoê∂ó¶
2017,43,0.0031
2018,43,0.00315
2019,43,0.0032
2020,43,0.00325
2021,43,0.0033
2022,43,0.00335
2023,43,0.00329
2024,43,0.0032300000000000002
2025,43,0.00317
2026,43,0.0031100000000000004
2027,43,0.00305
2028,43,0.0031100000000000004
2029,43,0.00317
2030,43,0.0032300000000000002
2031,43,0.00329
2032,43,0.00335
2033,43,0.00334
2034,43,0.00333
2035,43,0.00332
2036,43,0.00331
2037,43,0.0033
2038,43,0.00331
2039,43,0.00332
2040,43,0.00333
2041,43,0.00334
2042,43,0.00335
2043,43,0.00335
2044,43,0.00335
2045,43,0.00335
2046,43,0.00335
2047,43,0.00335
2048,43,0.00335
2049,43,0.00335
2050,43,0.00335
2051,43,0.00335
2052,43,0.00335
2053,43,0.00336
2054,43,0.00337
2055,43,0.0033799999999999998
2056,43,0.00339
2057,43,0.0034
2058,43,0.0034
2059,43,0.0034
2060,43,0.0034
2061,43,0.0034
2062,43,0.0034
2015,44,0.0014
2016,44,0.0014
2017,44,0.0014
2018,44,0.00144
2019,44,0.00148
2020,44,0.00152
2021,44,0.00156
2022,44,0.0016
2023,44,0.00156
2024,44,0.00152
2025,44,0.00148
2026,44,0.00144
2027,44,0.0014
2028,44,0.00144
2029,44,0.00148
2030,44,0.00152
2031,44,0.00156
2032,44,0.0016
2033,44,0.0016
2034,44,0.0016
2035,44,0.0016
2036,44,0.0016
2037,44,0.0016
2038,44,0.0016
2039,44,0.0016
2040,44,0.0016
2041,44,0.0016
2042,44,0.0016
2043,44,0.0016
2044,44,0.0016
2045,44,0.0016
2046,44,0.0016
2047,44,0.0016
2048,44,0.0016
2049,44,0.0016
2050,44,0.0016
2051,44,0.0016
2052,44,0.0016
2053,44,0.0016
2054,44,0.0016
2055,44,0.0016
2056,44,0.0016
2057,44,0.0016
2058,44,0.00161
2059,44,0.0016200000000000001
2060,44,0.00163
2061,44,0.00164
2062,44,0.00165
2015,45,0.00055
2016,45,0.00055
2017,45,0.00055
2018,45,0.00058
2019,45,0.00061
2020,45,0.0006399999999999999
2021,45,0.00067
2022,45,0.0007
2023,45,0.0006799999999999999
2024,45,0.00066
2025,45,0.0006399999999999999
2026,45,0.00062
2027,45,0.0006
2028,45,0.00061
2029,45,0.00062
2030,45,0.0006299999999999999
2031,45,0.0006399999999999999
2032,45,0.00065
2033,45,0.00065
2034,45,0.00065
2035,45,0.00065
2036,45,0.00065
2037,45,0.00065
2038,45,0.00066
2039,45,0.00067
2040,45,0.0006799999999999999
2041,45,0.00069
2042,45,0.0007
2043,45,0.0007
2044,45,0.0007
2045,45,0.0007
2046,45,0.0007
2047,45,0.0007
2048,45,0.0007
2049,45,0.0007
2050,45,0.0007
2051,45,0.0007
2052,45,0.0007
2053,45,0.0007
2054,45,0.0007
2055,45,0.0007
2056,45,0.0007
2057,45,0.0007
2058,45,0.0007
2059,45,0.0007
2060,45,0.0007
2061,45,0.0007
2062,45,0.0007
2015,46,0.0002
2016,46,0.0002
2017,46,0.0002
2018,46,0.00021
2019,46,0.00022
2020,46,0.00023
2021,46,0.00024
2022,46,0.00025
2023,46,0.00024
2024,46,0.00023
2025,46,0.00022
2026,46,0.00021
2027,46,0.0002
2028,46,0.00021
2029,46,0.00022
2030,46,0.00023
2031,46,0.00024
2032,46,0.00025
2033,46,0.00025
2034,46,0.00025
2035,46,0.00025
2036,46,0.00025
2037,46,0.00025
2038,46,0.00025
2039,46,0.00025
2040,46,0.00025
2041,46,0.00025
2042,46,0.00025
2043,46,0.00025
2044,46,0.00025
2045,46,0.00025
2046,46,0.00025
2047,46,0.00025
2048,46,0.00025
2049,46,0.00025
2050,46,0.00025
2051,46,0.00025
2052,46,0.00025
2053,46,0.00025
2054,46,0.00025
2055,46,0.00025
2056,46,0.00025
2057,46,0.00025
2058,46,0.00025
2059,46,0.00025
2060,46,0.00025
2061,46,0.00025
2062,46,0.00025
2015,47,0.0001
2016,47,0.0001
2017,47,0.0001
2018,47,0.0001
2019,47,0.0001
2020,47,0.0001
2021,47,0.0001
2022,47,0.0001
2023,47,0.0001
2024,47,0.0001
2025,47,0.0001
2026,47,0.0001
2027,47,0.0001
2028,47,0.0001
2029,47,0.0001
2030,47,0.0001
2031,47,0.0001
2032,47,0.0001
2033,47,0.0001
2034,47,0.0001
2035,47,0.0001
2036,47,0.0001
2037,47,0.0001
2038,47,0.0001
2039,47,0.0001
2040,47,0.0001
2041,47,0.0001
2042,47,0.0001
2043,47,0.0001
2044,47,0.0001
2045,47,0.0001
2046,47,0.0001
2047,47,0.0001
2048,47,0.0001
2049,47,0.0001
2050,47,0.0001
2051,47,0.0001
2052,47,0.0001
2053,47,0.0001
2054,47,0.0001
2055,47,0.0001
2056,47,0.0001
2057,47,0.0001
2058,47,0.0001
2059,47,0.0001
2060,47,0.0001
2061,47,0.0001
2062,47,0.0001
2015,48,5e-05
2016,48,5e-05
2017,48,5e-05
2018,48,5e-05
2019,48,5e-05
2020,48,5e-05
2021,48,5e-05
2022,48,5e-05
2023,48,5e-05
2024,48,5e-05
2025,48,5e-05
2026,48,5e-05
2027,48,5e-05
2028,48,5e-05
2029,48,5e-05
2030,48,5e-05
2031,48,5e-05
2032,48,5e-05
2033,48,5e-05
2034,48,5e-05
2035,48,5e-05
2036,48,5e-05
2037,48,5e-05
2038,48,5e-05
2039,48,5e-05
2040,48,5e-05
2041,48,5e-05
2042,48,5e-05
2043,48,5e-05
2044,48,5e-05
2045,48,5e-05
2046,48,5e-05
2047,48,5e-05
2048,48,5e-05
2049,48,5e-05
2050,48,5e-05
2051,48,5e-05
2052,48,5e-05
2053,48,5e-05
2054,48,5e-05
2055,48,5e-05
2056,48,5e-05
2057,48,5e-05
2058,48,5e-05
2059,48,5e-05
2060,48,5e-05
2061,48,5e-05
2062,48,5e-05
2015,49,5e-05
2016,49,5e-05
2017,49,5e-05
2018,49,5e-05
2019,49,5e-05
2020,49,5e-05
2021,49,5e-05
2022,49,5e-05
2023,49,5e-05
2024,49,5e-05
2025,49,5e-05
2026,49,5e-05
2027,49,5e-05
2028,49,5e-05
2029,49,5e-05
2030,49,5e-05
2031,49,5e-05
2032,49,5e-05
2033,49,6e-05
2034,49,7.000000000000001e-05
2035,49,8e-05
2036,49,9e-05
2037,49,0.0001
2038,49,0.0001
2039,49,0.0001
2040,49,0.0001
2041,49,0.0001
2042,49,0.0001
2043,49,0.0001
2044,49,0.0001
2045,49,0.0001
2046,49,0.0001
2047,49,0.0001
2048,49,0.0001
2049,49,0.0001
2050,49,0.0001
2051,49,0.0001
2052,49,0.0001
2053,49,0.0001
2054,49,0.0001
2055,49,0.0001
2056,49,0.0001
2057,49,0.0001
2058,49,0.0001
2059,49,0.0001
2060,49,0.0001
2061,49,0.0001
2062,49,0.0001
